Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Cybersecurity Analyst,Entertainment,Small,Dubai,Medium,High,UX/UI Design,111392,1,Growth
Marketing Specialist,Technology,Large,Singapore,Medium,High,Marketing,93793,0,Decline
AI Researcher,Technology,Large,Singapore,Medium,High,UX/UI Design,107170,1,Growth
Sales Manager,Retail,Small,Berlin,Low,High,Project Management,93028,0,Growth
Cybersecurity Analyst,Entertainment,Small,Tokyo,Low,Low,JavaScript,87753,1,Decline
UX Designer,Education,Large,San Francisco,Medium,Medium,Cybersecurity,102825,0,Growth
HR Manager,Finance,Medium,Singapore,Low,High,Sales,102066,1,Growth
Cybersecurity Analyst,Technology,Small,Dubai,Medium,Low,Machine Learning,86607,1,Decline
AI Researcher,Retail,Large,London,High,Low,JavaScript,75016,0,Stable
Sales Manager,Entertainment,Medium,Singapore,High,Low,Cybersecurity,96835,1,Decline
Marketing Specialist,Finance,Small,London,High,High,Python,91567,1,Growth
AI Researcher,Entertainment,Medium,Singapore,Medium,High,UX/UI Design,78903,0,Growth
AI Researcher,Transportation,Large,San Francisco,High,Medium,Python,73152,1,Growth
HR Manager,Retail,Small,Paris,Low,High,Cybersecurity,98210,1,Decline
Product Manager,Finance,Medium,Singapore,High,High,JavaScript,101002,1,Growth
Sales Manager,Telecommunications,Small,Dubai,High,Low,UX/UI Design,82799,0,Growth
Software Engineer,Manufacturing,Medium,Singapore,High,Medium,Machine Learning,78401,0,Decline
AI Researcher,Manufacturing,Large,Tokyo,Low,High,Project Management,73395,0,Stable
Product Manager,Finance,Large,San Francisco,Medium,High,UX/UI Design,97645,1,Stable
Software Engineer,Entertainment,Small,Dubai,Low,Low,UX/UI Design,73920,1,Growth
Sales Manager,Retail,Medium,Sydney,Medium,Low,JavaScript,134823,1,Decline
Data Scientist,Manufacturing,Small,Dubai,Medium,High,JavaScript,81794,1,Growth
UX Designer,Retail,Small,Tokyo,High,Medium,Cybersecurity,41496,0,Decline
Product Manager,Manufacturing,Medium,Paris,Medium,Medium,Data Analysis,89397,1,Decline
Operations Manager,Transportation,Medium,San Francisco,Low,Low,UX/UI Design,88539,1,Stable
Data Scientist,Entertainment,Medium,Sydney,Low,Low,Sales,112234,1,Stable
UX Designer,Transportation,Large,Tokyo,Medium,High,UX/UI Design,95763,0,Decline
HR Manager,Manufacturing,Small,Tokyo,High,Low,Cybersecurity,73323,1,Growth
Cybersecurity Analyst,Telecommunications,Small,New York,High,High,Marketing,84272,1,Stable
Marketing Specialist,Telecommunications,Large,San Francisco,Low,Medium,Python,96548,1,Growth
Operations Manager,Transportation,Medium,Dubai,High,Medium,Project Management,46706,1,Stable
HR Manager,Telecommunications,Large,London,Medium,High,Data Analysis,116772,1,Stable
Sales Manager,Manufacturing,Large,Paris,Medium,Low,Machine Learning,73377,0,Growth
HR Manager,Finance,Large,London,Low,Medium,Machine Learning,118341,1,Stable
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Low,Machine Learning,97849,1,Stable
Sales Manager,Healthcare,Large,Dubai,Low,Medium,JavaScript,102592,1,Growth
Operations Manager,Entertainment,Small,San Francisco,Medium,High,Machine Learning,112988,1,Stable
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,High,Project Management,101463,1,Stable
Software Engineer,Telecommunications,Small,New York,High,High,Python,103458,1,Stable
Marketing Specialist,Technology,Medium,Sydney,Medium,Medium,Machine Learning,86712,1,Growth
Operations Manager,Education,Small,Dubai,Medium,Low,UX/UI Design,97443,1,Decline
Software Engineer,Transportation,Small,London,Low,Low,UX/UI Design,78250,1,Growth
UX Designer,Energy,Medium,Dubai,Low,Low,JavaScript,83132,1,Decline
Operations Manager,Telecommunications,Small,New York,Medium,Medium,Project Management,129294,0,Stable
UX Designer,Entertainment,Large,Singapore,Low,Medium,Python,73836,0,Decline
Sales Manager,Healthcare,Large,Singapore,Medium,Medium,Data Analysis,93086,0,Growth
Software Engineer,Telecommunications,Small,Tokyo,High,Medium,Cybersecurity,92269,0,Growth
Marketing Specialist,Healthcare,Medium,Paris,Low,Medium,Python,83785,1,Stable
Cybersecurity Analyst,Manufacturing,Large,Berlin,Medium,Low,Cybersecurity,100288,0,Decline
AI Researcher,Manufacturing,Medium,Sydney,High,Medium,Marketing,101794,0,Stable
HR Manager,Education,Medium,Toronto,High,Medium,Cybersecurity,71484,1,Stable
